,0
PAY_0,0.28098990438592786
PAY_2,0.100618294118716
PAY_4,0.060460818883043256
PAY_3,0.056967000906225626
PAY_6,0.04186013689382003
LIMIT_BAL,0.03930544169106465
PAY_AMT1,0.03862695865416287
PAY_5,0.03826464866930874
BILL_AMT1,0.03413831538007281
PAY_AMT2,0.032012561621326735
BILL_AMT2,0.030632010246290937
PAY_AMT3,0.029723052883592324
BILL_AMT3,0.026593825889243954
AGE,0.02607645843472711
BILL_AMT5,0.02560381408382329
BILL_AMT4,0.025254473312278227
BILL_AMT6,0.025246458687633356
PAY_AMT5,0.02447410876661153
PAY_AMT6,0.024335905486881262
PAY_AMT4,0.02403979108493054
EDUCATION,0.00704677455378113
MARRIAGE,0.003909167113601777
SEX,0.0038200782529361297
